Name,Team,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
Damiere Byrd\ByrdDa00,CAR,23,,1,0,1,1,100.0%,16,16.0,0,16,1.0,16.0,0
Gerald Christian\ChriGe00,BUF,25,,3,0,2,1,50.0%,14,14.0,0,14,0.3,4.7,0
Quinton Dunbar\DunbQu00,WAS,24,cb,14,2,1,1,100.0%,31,31.0,0,31,0.1,2.2,1
George Farmer\FarmGe02,SEA,23,,2,0,3,1,33.3%,4,4.0,0,4,0.5,2.0,0
Jake Fisher\FishJa00,CIN,23,rt,15,3,1,1,100.0%,12,12.0,0,12,0.1,0.8,1
D.J. Foster\FostD.01,NWE,23,,3,0,2,1,50.0%,2,2.0,0,2,0.3,0.7,0
Jalston Fowler\FowlJa00,TEN,26,fb,16,7,2,1,50.0%,14,14.0,0,14,0.1,0.9,0
Blaine Gabbert\GabbBl00,SFO,27,qb,6,5,1,1,100.0%,-16,-16.0,0,-16,0.2,-2.7,0
Jimmy Garoppolo\GaroJi00,NWE,25,qb,6,2,1,1,100.0%,3,3.0,0,3,0.2,0.5,2
Connor Hamlett\HamlCo01,CLE,24,te,3,2,1,1,100.0%,17,17.0,1,17,0.3,5.7,0
Dwayne Harris*\HarrDw00,NYG,29,wr,16,1,1,1,100.0%,13,13.0,1,13,0.1,0.8,3
Henry Krieger-Coble\KrieHe00,DEN,24,,2,0,1,1,100.0%,13,13.0,0,13,0.5,6.5,0
Paul Lasike\LasiPa00,CHI,26,fb/wr,10,3,1,1,100.0%,3,3.0,0,3,0.1,0.3,0
Taylor Lewan*\LewaTa00,TEN,25,LT,16,16,1,1,100.0%,10,10.0,1,10,0.1,0.6,0
Chris Manhertz\ManhCh00,2TM,24,,7,2,1,1,100.0%,10,10.0,0,10,0.1,1.4,0
Paul McRoberts\McRoPa00,LAR,24,,2,0,1,1,100.0%,6,6.0,0,6,0.5,3.0,0
David Morgan\MorgDa01,MIN,23,,12,0,1,1,100.0%,4,4.0,0,4,0.1,0.3,0
Matthew Mulligan\MullMa00,DET,31,,8,0,1,1,100.0%,8,8.0,0,8,0.1,1.0,0
Marcus Murphy\MurpMa03,NOR,25,,3,0,1,1,100.0%,3,3.0,0,3,0.3,1.0,0
Troy Niklas\NiklTr00,ARI,24,te,3,2,2,1,50.0%,0,0.0,0,0,0.3,0.0,0
Brock Osweiler\OsweBr00,HOU,26,QB,15,14,1,1,100.0%,-14,-14.0,0,-6,0.1,-0.9,5
Jordan Payton\PaytJo00,CLE,23,,4,0,3,1,33.3%,3,3.0,0,3,0.3,0.8,0
Isaiah Pead\PeadIs00,MIA,27,,3,0,1,1,100.0%,6,6.0,0,6,0.3,2.0,0
Donald Penn*\PennDo20,OAK,33,LT,16,16,1,1,100.0%,1,1.0,1,1,0.1,0.1,0
Troymaine Pope\PopeTr00,2TM,23,,4,0,2,1,50.0%,5,5.0,0,5,0.3,1.3,0
Jay Prosch\ProsJa00,HOU,24,fb,15,1,1,1,100.0%,6,6.0,0,6,0.1,0.4,0
Chase Reynolds\ReynCh00,LAR,29,,16,0,1,1,100.0%,4,4.0,0,4,0.1,0.3,0
Rashad Ross\RossRa00,WAS,26,,5,0,1,1,100.0%,8,8.0,0,8,0.2,1.6,0
DeAndre Smelter\SmelDe00,SFO,25,,2,0,1,1,100.0%,23,23.0,0,23,0.5,11.5,0
Alex Smith*\SmitAl03,KAN,32,QB,15,15,1,1,100.0%,3,3.0,0,3,0.1,0.2,7
Devin Smith\SmitDe04,NYJ,24,,4,0,3,1,33.3%,20,20.0,0,20,0.3,5.0,0
Rod Smith\SmitRo06,DAL,24,,7,0,1,1,100.0%,4,4.0,0,4,0.1,0.6,0
Devin Street\StreDe00,IND,25,,5,0,6,1,16.7%,20,20.0,0,20,0.2,4.0,0
D.J. Tialavea\TialD.00,ATL,25,,2,0,1,1,100.0%,1,1.0,1,1,0.5,0.5,0
Laquon Treadwell\TreaLa00,MIN,21,wr,9,1,3,1,33.3%,15,15.0,0,15,0.1,1.7,0
Terron Ward\WardTe00,ATL,24,,5,0,2,1,50.0%,11,11.0,0,11,0.2,2.2,0
Tony Washington\WashTo00,JAX,24,,2,0,1,1,100.0%,9,9.0,0,9,0.5,4.5,0
Terrell Watson\WatsTe00,PHI,23,,1,0,1,1,100.0%,5,5.0,0,5,1.0,5.0,0
Joe Webb\WebbJo00,CAR,30,,14,0,3,1,33.3%,3,3.0,0,3,0.1,0.2,0
Carson Wentz\WentCa00,PHI,24,QB,16,16,1,1,100.0%,7,7.0,0,7,0.1,0.4,14
Jonathan Williams\WillJo07,BUF,22,,11,0,2,1,50.0%,0,0.0,0,0,0.1,0.0,2
Kerwynn Williams\WillKe05,ARI,25,,10,0,2,1,50.0%,6,6.0,0,6,0.1,0.6,0
Shane Wynn\WynnSh00,JAX,24,,5,0,3,1,33.3%,19,19.0,0,19,0.2,3.8,0
